Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,CO2_Emission_kg,Cost_per_kg,Biodegradable,biodegradable_flag,category_encoded,Density_kg_m3_norm,Tensile_Strength_MPa_norm,CO2_Emission_kg_norm,Cost_per_kg_norm,co2_impact_index,cost_efficiency_index,material_suitability_score,sustainability_rank,eco_grade
16,UV-Stabilized Polyurethane Foam,Plastic,29,0.53,3.497,2.31,No,0,4,0.001366586949094636,0.000388327970708976,0.22519695553478433,0.07318141980718669,0.5036,0.0,0.2762,498,D
17,Laminated Plywood,Wood,716,48.08,0.781,3.51,Yes,1,5,0.06004441407584557,0.06633473871075114,0.04386433435705702,0.12576687116564417,0.9715,0.0,0.5473,60,B
18,Medical-Grade PLA Bioplastic,Eco,1191,69.14,2.074,8.07,Yes,1,0,0.10061496412709259,0.09554254965050483,0.1301909467218587,0.32559158632778273,0.9154,0.0,0.5294,309,B
19,Perforated Aluminum Foil,Metal,2471,36.6,12.2,4.47,No,0,2,0.20994192005466347,0.050413291911683124,0.8062491654426491,0.16783523225241018,0.1259,0.0,0.1332,588,D
20,Recycled Seaweed Film,Eco,1089,14.0,0.124,3.73,Yes,1,0,0.09190297232661428,0.01906967713303007,0.0,0.13540753724802806,1.0,0.0,0.5446,124,B
21,Industrial-Grade Plywood,Wood,684,45.92,0.631,2.63,Yes,1,5,0.0573112401776563,0.06333906579385333,0.033849646147683266,0.08720420683610867,0.978,0.0,0.5492,36,B
22,Reinforced Polypropylene (PP),Plastic,1068,51.62,2.271,1.79,No,0,4,0.09010932695592756,0.07124431376900033,0.14334357057016955,0.050394390885188434,0.5568,0.0,0.3001,392,C
23,Woven Palm Leaf,Eco,534,18.95,0.428,1.52,Yes,1,0,0.044499487529894084,0.025934760900920895,0.020296434770997462,0.03856266432953549,0.9868,0.0,0.5461,94,B
24,Commercial-Grade Cornstarch Foam,Eco,40,0.5,1.2,2.1,Yes,1,0,0.0023061154765971984,0.0003467214024187285,0.071838696755241,0.06397896581945663,0.9533,0.0,0.5335,277,B
25,Perforated Seaweed Film,Eco,963,12.23,0.204,4.49,Yes,1,0,0.08114110010249402,0.01661488960390547,0.0053411670449993315,0.16871165644171782,0.9965,0.0,0.544,131,B
26,Insulated Acrylic Sheet,Plastic,606,43.1,4.31,4.11,No,0,4,0.05064912880081995,0.05942804837457007,0.27947656562959,0.15205959684487294,0.4683,0.0,0.2707,518,D
27,Laminated Hemp Composite,Eco,1236,61.29,1.328,4.15,Yes,1,0,0.10445848992142125,0.08465549761455675,0.08038456402723995,0.1538124452234882,0.9478,0.0,0.5382,232,B
28,Perforated Hemp Composite,Eco,1029,41.56,1.039,3.31,Yes,1,0,0.0867782712675094,0.0572922445356707,0.06108959807717986,0.11700262927256794,0.9603,0.0,0.5389,223,B
29,Lightweight Hemp Composite,Eco,886,40.25,0.906,2.63,Yes,1,0,0.07456440040997608,0.05547542438699656,0.052209907864868475,0.08720420683610867,0.9661,0.0,0.5418,173,B
30,Food-Grade Aluminum Foil,Metal,2752,45.87,12.231,6.12,No,0,2,0.23394260334813802,0.06326972151336957,0.8083188676725864,0.24014022787028924,0.1246,0.0,0.1329,589,D
31,Food-Grade HDPE Container,Plastic,911,23.98,1.822,1.87,No,0,4,0.07669969251793646,0.03291079551758571,0.11336627053011082,0.05390008764241894,0.5763,0.0,0.3006,389,C
32,Food-Grade ABS Plastic,Plastic,991,38.12,2.954,2.86,No,0,4,0.08353262726340963,0.05252135803838899,0.18894378421685137,0.09728308501314636,0.5272,0.0,0.2867,446,D
33,UV-Stabilized Hemp Composite,Eco,1064,53.21,1.161,3.93,Yes,1,0,0.0897676802186539,0.07344946188838344,0.06923487782080384,0.14417177914110432,0.955,0.0,0.54,205,B
34,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.807,2.13,No,0,4,0.07490604714724974,0.01307833129923444,0.1791293897716651,0.06529360210341806,0.5336,0.0,0.2819,468,D
35,Waterproof Polyurethane Foam,Plastic,34,0.51,3.356,2.07,No,0,4,0.0017936453706867098,0.0003605902585154777,0.21578314861797301,0.06266432953549518,0.5097,0.0,0.2783,490,D
36,Lightweight Kraft Paper,Paper,631,39.44,0.71,0.98,Yes,1,3,0.05278442090878032,0.05435204704315988,0.039124048604620106,0.014899211218229624,0.9746,0.0001,0.5467,77,B
37,Perforated ABS Plastic,Plastic,912,31.19,3.022,2.14,No,0,4,0.07678510420225487,0.04291024076334184,0.1934837762051008,0.06573181419807188,0.5242,0.0,0.2844,458,D
38,Lightweight Jute Burlap,Eco,1059,24.43,0.458,1.1,Yes,1,0,0.08934062179706184,0.03353489404193942,0.022299372412872213,0.02015775635407538,0.9855,0.0,0.5427,151,B
39,Single-Ply Polycarbonate,Plastic,1042,43.9,3.3,2.16,No,0,4,0.08788862316364879,0.060537556862309994,0.21204433168647346,0.0666082383873795,0.5122,0.0,0.2826,463,D
40,Food-Grade Acrylic Sheet,Plastic,1222,72.5,3.625,3.88,No,0,4,0.10326272634096344,0.10020248529901254,0.23374282280678327,0.14198071866783524,0.4981,0.0,0.284,461,D
41,Lightweight ABS Plastic,Plastic,829,31.9,2.781,1.79,No,0,4,0.06969593440382645,0.04389492954621103,0.17739351048204033,0.050394390885188434,0.5347,0.0,0.289,438,D
42,Commercial-Grade Molded Pulp,Paper,293,1.95,0.683,1.02,Yes,1,3,0.023915271609156134,0.002357705536447354,0.037321404726932836,0.016652059596844876,0.9757,0.0001,0.5396,212,B
43,Industrial-Grade PVC Film,Plastic,1415,53.43,2.721,1.96,No,0,4,0.1197471814144175,0.07375457672251193,0.1733876351982908,0.057843996494303246,0.5373,0.0,0.2908,434,D
44,Laminated Seaweed Film,Eco,1166,18.17,0.262,5.65,Yes,1,0,0.09847967201913221,0.024852990125374463,0.009213513152623849,0.21954425942156006,0.994,0.0,0.543,147,B
45,Industrial-Grade HDPE Container,Plastic,1052,30.21,2.105,1.44,No,0,4,0.08874274000683294,0.04155109286586042,0.13226064895179596,0.035056967572305,0.564,0.0,0.2968,406,D
46,Standard Recycled Denim,Eco,286,4.76,0.572,1.52,Yes,1,0,0.02331738981892723,0.006254854099633862,0.029910535451996255,0.03856266432953549,0.9806,0.0,0.5421,164,B
47,Standard Tin Plate,Metal,7547,192.29,7.692,1.73,No,0,2,0.6434916296549368,0.2663375124819705,0.5052744024569368,0.047765118317265556,0.3216,0.0,0.2015,558,D
48,Woven HDPE Container,Plastic,1016,31.59,2.032,1.64,No,0,4,0.08566791937137,0.04346499500721181,0.12738683402323406,0.04382120946538125,0.5672,0.0,0.2986,398,D
49,Commercial-Grade Jute Burlap,Eco,1245,28.73,0.479,1.21,Yes,1,0,0.10522719508028698,0.03949850216354155,0.023701428762184534,0.024978089395267314,0.9846,0.0,0.542,169,B
50,Double-Wall Polyurethane Foam,Plastic,46,0.92,4.306,2.79,No,0,4,0.0028185855825076872,0.0009292133584821926,0.27920950727734006,0.09421560035056968,0.4685,0.0,0.2639,535,D
51,Perforated Cork Sheet,Wood,218,4.04,0.303,4.45,Yes,1,5,0.017509395285275026,0.0052562964606679245,0.011950861263186006,0.16695880806310257,0.9922,0.0,0.5466,80,B
52,Recycled Plywood,Wood,640,35.44,0.354,2.21,Yes,1,5,0.05355312606764605,0.048804504604460223,0.015355855254373078,0.06879929886064856,0.99,0.0,0.5509,20,B
53,Medical-Grade Bubble Wrap (LDPE),Plastic,908,11.85,3.436,6.52,No,0,4,0.07644345746498121,0.016087873072229003,0.22112431566297233,0.2576687116564417,0.5063,0.0,0.2728,510,D
54,Single-Ply Teflon Coating,Plastic,2074,18.33,7.542,6.7,No,0,4,0.17603348138025282,0.025074891822922444,0.4952597142475631,0.26555652936021035,0.3281,0.0,0.2022,556,D
55,Heavy-Duty Steel Strap,Metal,10304,569.05,2.439,1.71,No,0,2,0.8789716433208062,0.788860534783091,0.15456002136466818,0.04688869412795793,0.5495,0.0,0.3622,340,C
56,Food-Grade Jute Burlap,Eco,1303,30.07,0.501,1.8,Yes,1,0,0.11018107277075503,0.04135692888050593,0.025170249699559354,0.050832602979842254,0.9836,0.0,0.5415,179,B
57,Heavy-Duty Hardboard,Wood,1214,43.59,0.872,2.62,Yes,1,5,0.10257943286641612,0.06010762232331078,0.04993991187074376,0.08676599474145487,0.9675,0.0,0.5404,196,B
58,Industrial-Grade Corrugated Cardboard,Paper,688,7.5,1.031,0.92,Yes,1,3,0.05765288691492996,0.010054920670143127,0.06055548137267993,0.012269938650306754,0.9606,0.0001,0.5325,284,B
59,Lightweight Corrugated Cardboard,Paper,498,4.98,0.84,0.75,Yes,1,3,0.04142466689443115,0.006559968933762344,0.047803445052744024,0.004820333041191935,0.9689,0.0002,0.5363,248,B
60,Waterproof Styrofoam (EPS),Plastic,28,0.4,3.651,1.81,No,0,4,0.0012811752647762214,0.00020803284145123711,0.23547870209640803,0.05127081507449606,0.4969,0.0,0.2738,507,D
61,Anti-Static Polyurethane Foam,Plastic,30,0.49,3.254,2.35,No,0,4,0.0014519986334130509,0.00033285254632197937,0.20897316063559887,0.07493426818580194,0.5142,0.0,0.2799,481,D
62,Medical-Grade Steel Strap,Metal,7562,465.34,2.327,3.49,No,0,2,0.644772804919713,0.6450266282037057,0.1470823875016691,0.12489044697633656,0.5544,0.0,0.3586,341,C
63,Medical-Grade Glass Jar,Glass,2590,62.17,0.995,4.66,No,0,1,0.22010591048855482,0.08587595695107068,0.05815195620243022,0.17616126205083263,0.6122,0.0,0.3094,367,C
64,Waterproof Bagasse (Sugarcane),Eco,130,19.73,0.325,1.78,Yes,1,0,0.009993167065254526,0.027016531676467326,0.013419682200560822,0.04995617879053463,0.9913,0.0,0.5514,16,B
65,Industrial-Grade Hemp Composite,Eco,1160,57.53,1.055,3.06,Yes,1,0,0.09796720191322172,0.07944080772217908,0.062157831486179725,0.10604732690622262,0.9596,0.0,0.542,170,B
66,Recycled Bagasse (Sugarcane),Eco,118,17.68,0.177,1.33,Yes,1,0,0.008968226853433549,0.024173416176633752,0.0035385231673120566,0.03023663453111306,0.9977,0.0,0.5531,3,B
67,Fire-Retardant Polycarbonate,Plastic,1281,69.37,4.793,4.08,No,0,4,0.1083020157157499,0.09586153334073007,0.3117238616637735,0.1507449605609115,0.4474,0.0,0.2649,534,D
68,Single-Ply Pine Wood Crate,Wood,467,25.43,0.467,1.66,Yes,1,5,0.0387769046805603,0.03492177965161433,0.022900253705434637,0.04469763365468887,0.9851,0.0,0.5479,53,B
69,Anti-Static Bubble Wrap (LDPE),Plastic,912,9.91,3.162,3.05,No,0,4,0.07678510420225487,0.013397314989459671,0.20283081853384963,0.10560911481156879,0.5182,0.0,0.2764,496,D
70,Commercial-Grade Plywood,Wood,673,41.44,0.622,2.72,Yes,1,5,0.05637171165015374,0.0571258182625097,0.03324876485512084,0.091148115687993,0.9784,0.0,0.5482,49,B
71,Reinforced PET Plastic,Plastic,1584,78.93,2.315,1.37,No,0,4,0.13418175606422958,0.10912015976922225,0.1462812124449192,0.03198948290972831,0.5549,0.0,0.3026,383,C
72,Insulated Steel Strap,Metal,4084,251.3,2.513,2.01,No,0,2,0.3477109668602665,0.3481776323088872,0.15950060088129253,0.0600350569675723,0.5463,0.0,0.3261,352,C
73,Heavy-Duty PVC Film,Plastic,1693,63.11,3.005,2.52,No,0,4,0.14349162965493678,0.0871796294241651,0.19234877820803845,0.08238387379491674,0.525,0.0,0.2868,444,D
74,Anti-Static PET Plastic,Plastic,1415,56.41,2.482,1.58,No,0,4,0.1197471814144175,0.07788749583934317,0.15743089865135532,0.04119193689745837,0.5477,0.0,0.2953,413,D
75,Anti-Static Tin Plate,Metal,8207,209.1,9.201,2.63,No,0,2,0.6998633413050905,0.28965105958060583,0.6060221658432368,0.08720420683610867,0.2561,0.0,0.1776,574,D
76,Waterproof Tissue Paper,Paper,281,1.02,0.899,1.84,Yes,1,3,0.022890331397335158,0.001067901919449684,0.051742555748431035,0.052585451358457505,0.9664,0.0,0.5362,250,B
77,Waterproof Cork Sheet,Wood,271,5.14,0.339,4.93,Yes,1,5,0.022036214554151008,0.006781870631310329,0.014354386433435706,0.18799298860648553,0.9907,0.0,0.5459,99,B
78,UV-Stabilized Kraft Paper,Paper,801,55.06,0.961,1.54,Yes,1,3,0.06730440724291083,0.07601520026628204,0.05588196020830551,0.03943908851884312,0.9637,0.0,0.5458,100,B
79,Medical-Grade Borosilicate Glass,Glass,2190,70.72,1.297,8.84,No,0,1,0.18594123676118893,0.09773382891379119,0.0783148617973027,0.3593339176161262,0.5991,0.0,0.3106,362,C
80,Laminated PET Plastic,Plastic,1444,62.8,2.721,1.47,No,0,4,0.12222412025965151,0.08674969488516587,0.1733876351982908,0.036371603856266435,0.5373,0.0,0.2932,425,D
81,Lightweight Polypropylene (PP),Plastic,729,28.19,1.903,1.27,No,0,4,0.061154765971984965,0.0387495839343171,0.11877420216317264,0.027607361963190184,0.5728,0.0,0.3021,385,C
82,Woven Hardboard,Wood,942,37.12,0.733,2.23,Yes,1,5,0.07934745473180731,0.05113447242871408,0.040659634130057416,0.06967572304995619,0.9736,0.0,0.5431,146,B
83,UV-Stabilized Bamboo Sheet,Wood,723,51.12,0.744,3.04,Yes,1,5,0.060642295866074475,0.07055087096416288,0.04139404459874482,0.10517090271691498,0.9731,0.0,0.5486,43,B
84,Perforated Wax Paper,Paper,824,12.21,1.12,1.34,Yes,1,3,0.06926887598223437,0.016587151891711973,0.06649752971024168,0.030674846625766874,0.9568,0.0,0.5313,293,B
85,Reinforced Polycarbonate,Plastic,1475,99.84,4.28,3.73,No,0,4,0.12487188247352238,0.1381199378675247,0.2774736279877153,0.13540753724802806,0.4696,0.0,0.2795,482,D
86,Medical-Grade Corrugated Cardboard,Paper,603,7.24,1.086,2.41,Yes,1,3,0.05039289374786471,0.00969433041162765,0.06422753371611696,0.07756354075372482,0.9583,0.0,0.5323,286,B
87,Waterproof Pine Wood Crate,Wood,542,34.46,0.542,2.36,Yes,1,5,0.045182781004441404,0.04744535670697881,0.02790759781012151,0.07537248028045575,0.9819,0.0,0.5486,44,B
88,Double-Wall PVC Film,Plastic,2034,84.51,3.652,3.0,No,0,4,0.17261701400751622,0.11685898147120827,0.23554546668447054,0.10341805433829973,0.4969,0.0,0.28,480,D
89,Lightweight Seaweed Film,Eco,819,11.7,0.175,3.51,Yes,1,0,0.0688418175606423,0.015879840230777764,0.0034049939911870736,0.12576687116564417,0.9978,0.0,0.5455,109,B
90,Perforated Corrugated Cardboard,Paper,565,5.02,0.942,0.92,Yes,1,3,0.04714724974376495,0.006615444358149339,0.05461343303511817,0.012269938650306754,0.9645,0.0001,0.5342,270,B
91,Lightweight Molded Pulp,Paper,242,1.61,0.636,0.91,Yes,1,3,0.01955927570891698,0.0018861644291578833,0.03418346908799573,0.011831726555652941,0.9778,0.0001,0.5407,191,B
92,Medical-Grade Bagasse (Sugarcane),Eco,118,23.66,0.355,4.44,Yes,1,0,0.008968226853433549,0.032466992122489734,0.01542261984243557,0.16652059596844876,0.99,0.0,0.5521,8,B
93,Fire-Retardant Mushroom Mycelium,Eco,171,0.91,0.672,5.43,Yes,1,0,0.01349504612230953,0.0009153445023854434,0.03658699425824543,0.20990359333917616,0.9762,0.0,0.5405,195,B
94,Reinforced Sheep Wool,Eco,1506,14.48,0.531,4.01,Yes,1,0,0.12751964468739324,0.019735382225674027,0.027173187341434105,0.1476774758983348,0.9823,0.0,0.535,263,B
95,Laminated HDPE Container,Plastic,1002,28.75,2.367,1.74,No,0,4,0.08447215579091219,0.03952623987573505,0.14975297102416876,0.048203330411919376,0.5527,0.0,0.2929,428,D
96,Waterproof Nylon Fabric,Plastic,1328,62.97,5.772,3.78,No,0,4,0.11231636487871541,0.08698546543881061,0.3770863933769529,0.13759859772129712,0.4049,0.0,0.2479,548,D
97,Standard Teflon Coating,Plastic,2169,24.65,7.889,7.89,No,0,4,0.1841475913905022,0.0338400088760679,0.5184270263052477,0.31770376862401406,0.313,0.0,0.1979,563,D
98,Laminated PLA Bioplastic,Eco,1408,74.31,2.415,4.05,Yes,1,0,0.11914929962418859,0.10271274825252413,0.15295767125116838,0.14943032427695005,0.9006,0.0,0.5238,330,B
99,Single-Ply Corrugated Cardboard,Paper,539,4.19,0.808,0.64,Yes,1,3,0.04492654595148616,0.005464329302119162,0.0456669782347443,0.0,0.9703,1.0,0.7862,1,A
100,Woven Recycled Denim,Eco,346,6.82,0.692,2.18,Yes,1,0,0.028442090878032115,0.009111838455564186,0.03792228601949525,0.06748466257668713,0.9754,0.0,0.5404,197,B
101,Commercial-Grade Mushroom Mycelium,Eco,149,0.8,0.497,3.65,Yes,1,0,0.011615989067304407,0.0007627870853212028,0.024903191347309388,0.13190184049079756,0.9838,0.0,0.5433,143,B
102,Lightweight Recycled Denim,Eco,243,4.04,0.546,1.46,Yes,1,0,0.019644687393235397,0.0052562964606679245,0.028174656162371484,0.03593339176161263,0.9817,0.0,0.5427,152,B
103,Woven Aluminum Foil,Metal,3009,59.27,13.374,5.27,No,0,2,0.25589340621797063,0.08185398868301343,0.8846307918280144,0.20289219982471515,0.075,0.0,0.117,595,D
104,Waterproof Seaweed Film,Eco,1167,15.15,0.222,4.85,Yes,1,0,0.09856508370345063,0.02066459558415622,0.006542929630124181,0.18448729184925503,0.9957,0.0,0.5428,150,B
105,Woven Styrofoam (EPS),Plastic,27,0.52,3.6,1.93,No,0,4,0.0011957635804578065,0.00037445911461222683,0.232073708105221,0.056529360210341814,0.4992,0.0,0.2747,504,D
106,Double-Wall HDPE Container,Plastic,1482,46.81,2.767,2.16,No,0,4,0.12546976426375128,0.064573393986464,0.17645880624916543,0.0666082383873795,0.5353,0.0,0.2877,440,D
107,Medical-Grade Hardboard,Wood,925,36.99,0.863,5.55,Yes,1,5,0.07789545609839425,0.050954177299456345,0.04933903057818133,0.2151621384750219,0.9679,0.0,0.5412,181,B
108,Insulated Cotton Canvas,Eco,725,23.19,1.74,3.4,Yes,1,0,0.060813119234711305,0.031815155885942525,0.10789157430898651,0.12094653812445225,0.9299,0.0,0.5257,327,B
109,Heavy-Duty Mushroom Mycelium,Eco,188,1.08,0.579,4.73,Yes,1,0,0.014947044755722583,0.0011511150560301788,0.030377887568433702,0.17922874671340933,0.9803,0.0,0.5418,174,B
110,Reinforced Tin Plate,Metal,9193,292.78,8.588,2.28,No,0,2,0.7840792620430475,0.4057056473982026,0.5650954733609292,0.07186678352322524,0.2827,0.0,0.2017,557,D
111,Commercial-Grade HDPE Container,Plastic,915,24.08,1.83,1.31,No,0,4,0.0770413392552101,0.033049484078553196,0.11390038723461075,0.029360210341805436,0.576,0.0,0.3005,391,C
112,Standard Bamboo Sheet,Wood,703,45.21,0.603,2.11,Yes,1,5,0.05893406217970618,0.06235437701098413,0.0319802376819335,0.06441717791411043,0.9792,0.0,0.5493,34,B
113,Lightweight Wax Paper,Paper,731,12.19,1.005,1.1,Yes,1,3,0.061325589340621794,0.016559414179518474,0.05881960208305514,0.02015775635407538,0.9618,0.0,0.5338,273,B
114,Woven Corrugated Cardboard,Paper,653,7.71,0.979,1.03,Yes,1,3,0.05466347796378544,0.01034616664817486,0.05708372279343036,0.01709027169149869,0.9629,0.0001,0.5336,274,B
115,Standard Kraft Paper,Paper,826,51.65,0.826,1.14,Yes,1,3,0.0694396993508712,0.07128592033729057,0.04686874081986914,0.021910604732690624,0.9695,0.0,0.5466,81,B
116,Fire-Retardant PLA Bioplastic,Eco,1354,65.5,2.322,4.17,Yes,1,0,0.11453706867099418,0.09049428603128815,0.14674856456135665,0.1546888694127958,0.9046,0.0,0.5233,334,B
117,Lightweight Tissue Paper,Paper,199,0.8,0.718,1.35,Yes,1,3,0.015886573283225146,0.0007627870853212028,0.03965816530912004,0.031113058720420687,0.9742,0.0,0.5395,213,B
118,Industrial-Grade Wax Paper,Paper,973,17.68,1.189,1.3,Yes,1,3,0.08199521694567817,0.024173416176633752,0.0711042862865536,0.028921998247151623,0.9538,0.0,0.5305,301,B
119,Perforated Polypropylene (PP),Plastic,826,28.4,2.13,1.56,No,0,4,0.0694396993508712,0.03904082991234883,0.13392976365335824,0.040315512708150744,0.5629,0.0,0.2979,403,D
120,Insulated Jute Burlap,Eco,627,17.36,0.579,1.85,Yes,1,0,0.05244277417150666,0.02372961278153778,0.030377887568433702,0.05302366345311131,0.9803,0.0,0.5426,154,B
121,Commercial-Grade ABS Plastic,Plastic,1045,40.2,3.115,2.11,No,0,4,0.08814485821660403,0.055406080106512816,0.19969288289491255,0.06441717791411043,0.5202,0.0,0.2843,460,D
122,Laminated Bamboo Sheet,Wood,803,56.31,0.813,3.07,Yes,1,5,0.06747523061154766,0.07774880727837569,0.04600080117505675,0.10648553900087643,0.9701,0.0,0.5483,46,B
123,Lightweight Bagasse (Sugarcane),Eco,94,15.72,0.265,1.33,Yes,1,0,0.006918346429791596,0.02145512038167092,0.009413806916811323,0.03023663453111306,0.9939,0.0,0.5515,14,B
124,Medical-Grade Tin Plate,Metal,7722,236.1,9.444,5.31,No,0,2,0.6584386744106594,0.3270969710418285,0.6222459607424222,0.2046450482033304,0.2455,0.0,0.1855,568,D
125,Fire-Retardant Recycled Denim,Eco,325,5.41,0.768,2.36,Yes,1,0,0.026648445507345405,0.007156329745922557,0.042996394712244625,0.07537248028045575,0.9721,0.0,0.539,222,B
126,Commercial-Grade Pine Wood Crate,Wood,509,35.62,0.509,2.14,Yes,1,5,0.04236419542193372,0.0490541440142017,0.025704366404059285,0.06573181419807188,0.9833,0.0,0.5497,29,B
127,Recycled Hemp Composite,Eco,1138,46.55,0.621,2.7,Yes,1,0,0.0960881448582166,0.06421280372794852,0.03318200026705835,0.09027169149868537,0.9784,0.0,0.5457,103,B
128,Reinforced HDPE Container,Plastic,1130,37.16,2.071,1.67,No,0,4,0.09540485138366929,0.05118994785310107,0.12999065295767126,0.04513584574934268,0.5655,0.0,0.2986,399,D
129,Standard Jute Burlap,Eco,1301,30.02,0.5,1.2,Yes,1,0,0.1100102494021182,0.04128758460002219,0.025103485111496862,0.0245398773006135,0.9837,0.0,0.5416,175,B
130,Laminated Aluminum Foil,Metal,2838,51.6,14.907,5.35,No,0,2,0.2412880081995217,0.07121657605680684,0.986980905327814,0.20639789658194566,0.0085,0.0,0.0931,597,D
131,Double-Wall Styrofoam (EPS),Plastic,36,0.69,4.446,2.31,No,0,4,0.0019644687393235395,0.000610229668256962,0.2885565496060889,0.07318141980718669,0.4624,0.0,0.2618,537,D
132,Double-Wall Wax Paper,Paper,1407,28.13,1.605,2.0,Yes,1,3,0.11906388793987017,0.0386663707977366,0.09887835492055012,0.0595968448729185,0.9357,0.0,0.5233,335,B
133,Waterproof Balsa Wood,Wood,184,10.46,0.46,4.39,Yes,1,5,0.014605398018448923,0.014160102074780875,0.022432901588997196,0.16432953549517967,0.9854,0.0,0.5463,90,B
134,Standard Polyurethane Foam,Plastic,29,0.48,2.902,1.64,No,0,4,0.001366586949094636,0.0003189836902252302,0.18547202563760182,0.04382120946538125,0.5294,0.0,0.2852,453,D
135,Heavy-Duty Sheep Wool,Eco,1676,13.88,0.595,4.44,Yes,1,0,0.14203963102152375,0.018903250859869082,0.031446120977433566,0.16652059596844876,0.9796,0.0,0.5324,285,B
136,Reinforced Acrylic Sheet,Plastic,1448,107.38,3.937,3.32,No,0,4,0.12256576699692517,0.14857705536447355,0.25457337428228066,0.11744084136722174,0.4845,0.0,0.287,443,D
137,Heavy-Duty Seaweed Film,Eco,1420,21.84,0.25,5.82,Yes,1,0,0.12017423983600957,0.029942860312881396,0.008412338095873948,0.2269938650306749,0.9945,0.0,0.542,171,B
138,Heavy-Duty Cotton Canvas,Eco,1863,53.49,1.719,2.94,Yes,1,0,0.1580116159890673,0.07383778985909242,0.10648951795967418,0.10078878177037687,0.9308,0.0,0.5247,329,B
139,Lightweight Aluminum Foil,Metal,2144,35.73,10.718,3.57,No,0,2,0.18201229928254184,0.049206701431265945,0.7073040459340365,0.12839614373356706,0.1903,0.0,0.1582,583,D
140,Single-Ply Tin Plate,Metal,6972,138.16,7.105,1.42,No,0,2,0.5943799111718483,0.19126539443026738,0.46608358926425425,0.03418054338299737,0.347,0.0,0.2003,561,D
141,Medical-Grade Kraft Paper,Paper,831,62.31,0.997,3.43,Yes,1,3,0.06986675777246328,0.08607012093642517,0.058285485378555206,0.12226117440841369,0.9621,0.0,0.547,65,B
142,UV-Stabilized Cornstarch Foam,Eco,42,0.57,1.498,2.91,Yes,1,0,0.0024769388452340283,0.0004438033950959725,0.09173454399786352,0.09947414548641545,0.9404,0.0,0.529,311,B
